ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"202.53.174.21","elite","AS23923","BD","Agni Systems Limited","182","Agni Systems Ltd.","1080","socks4","1","98","5184","5278","2026-05-03T07:09:35.315Z","4733"
"182.160.125.148","elite","AS24323","BD","Aamra Networks Limited","180","N/A","8080","socks5","1","94","11296","12008","2026-05-03T07:09:06.619Z","4122"
"103.195.141.47","elite","AS64037","BD","First n Fast IT Ltd","193","the","1080","socks4","1","61","3267","5387","2026-05-03T07:07:42.836Z","1512"
"117.103.85.34","elite","N/A","BD","IDS Bangladesh","175","N/A","3129","socks5","1","55","946","1731","2026-05-03T07:05:58.520Z","1104"
"119.148.47.233","elite","AS23923","BD","Agni Systems Limited","196","Agni Systems Ltd.","2212","socks5","1","98","123","126","2026-05-03T07:05:51.824Z","5007"
"103.134.38.89","elite","AS137491","BD","Peerex Networks Ltd","199","Peerex Networks Ltd.","5678","socks5","1","88","4733","5365","2026-05-03T07:05:51.812Z","3405"
"116.68.194.61","elite","AS23923","BD","Agni Systems Ltd.main-1a","194","Agni Systems Ltd.","1080","socks4","1","98","5191","5276","2026-05-03T07:03:25.927Z","2287"
"103.35.111.101","elite","AS23991","BD","Ranks ITT","191","Ranks ITT Ltd.","4145","socks4","1","99","11948","12071","2026-05-03T07:02:27.433Z","2886"
"103.140.205.137","elite","AS139282","BD","Novus Network","182","Md. Riduanul Kabir","1081","socks5","1","42","5124","12181","2026-05-03T07:02:14.920Z","4727"
"103.239.253.66","elite","AS63526","BD","Carnival Internet","180","N/A","8080","socks5","1","99","124","125","2026-05-03T07:00:05.117Z","4991"
"103.220.206.53","elite","AS59362","BD","KS Network","228","Nazmul Karim Bhuiyan","5678","socks4","1","50","6077","12053","2026-05-03T06:58:42.614Z","900"
"110.76.129.30","elite","AS59362","BD","KS Network Limited","198","N/A","5678","socks5","1","98","11939","12126","2026-05-03T06:56:31.243Z","4968"
"103.77.60.22","elite","AS134437","BD","Orange Communication (The Sky Traders Ltd)","216","LTD 367/Kazipara","53281","socks5","1","98","4645","4756","2026-05-03T06:55:27.925Z","4174"
"119.148.14.161","elite","N/A","BD","Agni Systems Ltd. SUB","192","N/A","9990","socks4","1","96","206","214","2026-05-03T06:53:35.221Z","537"
"115.127.112.34","elite","AS24342","BD","BRACNet Limited","163","BRACNet Limited","1080","socks5","1","97","142","146","2026-05-03T06:53:35.218Z","3415"
"115.127.188.78","elite","AS24342","BD","BRACNet Limited","188","BRACNet Limited","18","socks4","1","37","1966","5245","2026-05-03T06:41:30.235Z","1396"
"103.23.41.110","elite","AS58923","BD","InterCloud ltd","275","InterCloud ltd","30058","socks4","1","98","5094","5196","2026-05-03T06:38:08.922Z","3914"
"103.95.97.53","elite","AS136759","BD","Cosmopolitan Communications Limited","181","Cosmopolitan Communications Limited","4153","socks4","1","98","5235","5332","2026-05-03T06:36:36.041Z","2883"
"103.137.108.86","elite","AS152723","BD","Maijdee Supernet","194","Creation Online","5678","socks5","1","91","11025","12066","2026-05-03T06:30:13.338Z","1317"
"103.95.97.50","elite","AS136759","BD","Cosmopolitan Communications Limited","181","Cosmopolitan Communications Limited","4153","socks4","1","98","5249","5329","2026-05-03T06:20:08.628Z","229"
"202.74.48.66","elite","AS58890","BD","InfoLink","173","Ayna Scope LLC","1088","socks4","1","91","4551","4978","2026-05-03T06:19:01.730Z","4425"
"175.29.188.126","elite","AS17469","BD","Access Telecom (BD) Ltd","187","Access Telecom (BD) Ltd","9090","socks4","1","98","5101","5190","2026-05-03T06:16:14.022Z","1221"
"119.148.46.101","elite","AS23923","BD","Agni Systems Limited","191","Agni Systems Ltd.","9990","socks4","1","97","1603","1651","2026-05-03T06:13:44.718Z","3175"
"45.125.222.125","elite","AS63526","BD","Carnival Internet","201","N/A","47239","socks4","1","98","11928","12138","2026-05-03T06:08:59.714Z","4691"
"202.40.178.34","elite","AS23991","BD","Ranks ITT","232","Ranks ITT Ltd.","5678","socks4","1","100","615","617","2026-05-03T06:08:59.739Z","4384"
"103.86.194.246","elite","AS151786","BD","Hp Link","219","M/S Speed Link","4145","socks4","1","11","1295","12105","2026-05-03T06:07:31.429Z","3481"
"182.160.126.106","elite","AS24323","BD","Aamra Networks Limited","178","N/A","9990","socks5","1","28","1506","5391","2026-05-03T06:04:24.445Z","2524"
"115.127.172.70","elite","AS24342","BD","BRACNet Limited","168","BRACNet Limited","5678","socks4","1","26","1410","5375","2026-05-03T06:02:55.325Z","2972"
"103.35.109.186","elite","AS23991","BD","Ranks ITT","188","Ranks ITT Ltd.","5678","socks4","1","88","120","137","2026-05-03T06:01:59.414Z","3117"
"124.6.225.124","elite","AS38256","BD","Bengal Group","227","Prisma Digital Network Ltd","1088","socks4","1","93","5029","5393","2026-05-03T06:01:07.627Z","819"
"103.130.113.245","elite","AS138336","BD","Potato Internet","177","Sajid Trading Ltd.","5678","socks5","1","93","11213","12067","2026-05-03T05:59:26.325Z","4728"
"58.84.32.118","elite","AS138191","BD","Weblink Communications Ltd","223","Weblink Communications Ltd","5678","socks5","1","95","5134","5378","2026-05-03T05:58:30.928Z","369"
"202.40.186.66","elite","AS23991","BD","Ranks ITT","191","Ranks ITT Ltd.","1088","socks4","1","97","694","715","2026-05-03T05:57:39.216Z","3209"
"115.127.180.90","elite","AS24342","BD","BRACNet Limited","163","BRACNet Limited","5678","socks4","1","77","3676","4756","2026-05-03T05:55:03.739Z","3193"
"103.92.212.33","elite","AS136562","BD","The Winner IT","233","Mohammad Ohid Ullah Bhuiyan","52658","socks5","1","100","137","137","2026-05-03T05:54:34.539Z","4818"
"27.147.221.140","elite","N/A","BD","Link3 Technologies Limited","214","N/A","5678","socks5","1","73","232","319","2026-05-03T05:53:09.328Z","4502"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","218","Md. Murad Hossain Ripon","36331","socks4","1","98","11669","11937","2026-05-03T05:50:31.121Z","2806"
"202.5.54.70","elite","AS45326","BD","BBTS-NEW","186","N/A","4145","socks4","1","98","1190","1215","2026-05-03T05:47:08.729Z","1903"
"118.67.223.4","elite","AS58923","BD","InterCloud Limited","278","InterCloud ltd","5678","socks4","1","99","5268","5344","2026-05-03T05:47:08.726Z","2905"
"110.76.129.229","elite","AS59362","BD","KS Network Limited","216","N/A","5678","socks4","1","98","11824","12098","2026-05-03T05:45:33.926Z","2309"
"202.53.174.22","elite","AS23923","BD","Agni Systems Limited","181","Agni Systems Ltd.","1080","socks4","1","98","5280","5379","2026-05-03T05:44:33.435Z","1890"
"103.54.43.131","elite","AS134116","BD","THE NET HEADS","234","THE NET HEADS","8080","socks5","1","99","144","146","2026-05-03T05:41:21.132Z","5183"
"115.127.2.228","elite","AS24342","BD","bracNet","199","BRAC BDMail Network Ltd","5678","socks4","1","97","5219","5372","2026-05-03T05:37:18.724Z","4827"
"103.109.57.226","elite","AS138640","BD","Skynet Chowmuhani","177","N/A","5566","socks4","1","97","5239","5389","2026-05-03T05:34:51.730Z","1163"
"103.134.227.182","elite","AS138622","BD","Abul Kalam Azad","195","N/A","5678","socks5","1","81","107","132","2026-05-03T05:30:54.723Z","2791"
"103.10.54.81","elite","AS55828","BD","DRIK ICT Limited","180","N/A","4153","socks4","1","99","4317","4349","2026-05-03T05:29:43.336Z","1017"
"45.115.115.42","elite","AS55828","BD","Drik ICT Ltd","199","Drik ICT Limited","4153","socks4","1","93","4502","4834","2026-05-03T05:28:41.025Z","3479"
"103.109.59.193","elite","AS138640","BD","HelloTech Limited","198","Hello Tech Limited","1080","socks4","1","35","4203","12094","2026-05-03T05:27:30.025Z","1574"
"119.148.20.109","elite","AS23923","BD","Agni Systems Ltd. SUB","202","Agni Systems Ltd.","22122","socks5","1","88","121","137","2026-05-03T05:18:57.146Z","2471"
"103.113.12.90","elite","AS137554","BD","Dewan Riazul Islam","196","N/A","4673","socks4","1","96","11598","12058","2026-05-03T05:17:01.832Z","4087"
"182.252.74.40","elite","AS23923","BD","Agni Systems Limited","292","Agni Systems Limited","8080","socks4","1","100","131","131","2026-05-03T05:15:00.640Z","889"
"103.95.98.36","elite","AS136759","BD","Cosmopolitan Communications Limited","198","Cosmopolitan Communications Limited","1088","socks4","1","90","4813","5366","2026-05-03T05:13:41.326Z","3276"
"120.50.13.38","elite","N/A","BD","TelNET Communication Ltd","202","N/A","40308","socks4","1","94","4976","5313","2026-05-03T05:13:41.231Z","5197"
"203.190.8.59","elite","AS58768","BD","DAFFODILNET-SUB","214","N/A","1088","socks4","1","97","5252","5407","2026-05-03T05:12:31.044Z","1089"
"103.120.220.241","elite","AS134601","BD","Touhidul Islam Polash","199","N/A","8090","socks5","1","100","136","136","2026-05-03T05:08:45.028Z","3875"
"103.130.112.253","elite","AS138336","BD","Potato Internet","178","Sajid Trading Ltd.","5678","socks4","1","93","11218","12117","2026-05-03T05:07:19.626Z","2275"
"103.95.97.54","elite","AS136759","BD","Cosmopolitan Communications Limited","182","Cosmopolitan Communications Limited","4153","socks4","1","98","5308","5404","2026-05-03T05:06:30.134Z","245"
"123.253.97.89","elite","AS59362","BD","Md Rezaul Karim","216","Sun Cybercafe","8080","socks4","1","15","1828","12165","2026-05-03T05:06:30.126Z","3187"
"103.234.24.42","elite","AS38200","BD","BTS Communications (BD) Ltd","205","Btscombd","9990","socks5","1","94","5007","5302","2026-05-03T05:05:25.818Z","527"
"27.147.139.73","elite","AS23688","BD","Link3 Technologies Limited","202","Corporate Subscriber","4145","socks4","1","97","11742","12081","2026-05-03T05:01:29.241Z","4893"
"182.160.116.194","elite","AS24323","BD","Aamra Networks Limited","178","N/A","8090","socks5","1","97","11589","11959","2026-05-03T04:57:10.248Z","3797"
