alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1777801011.5616,elite,3594.2431326533,1776085944.7191,"AS23991 Ranks ITT Ltd.",RANKS-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"Ranks ITT",23.7891,90.4126,false,"Ranks ITT Ltd.",false,"Dhaka Division",success,Asia/Dhaka,1212,1777293337,1777801011.9856,1088,socks4,socks4://202.40.188.2:1088,true,1808.5777759552,46062,29223,61.183502689779,202.40.188.2
true,1777800892.3093,elite,3960.5143923441,1776081846.9131,"AS55828 Drik ICT Ltd",DRIK-BD,Dhaka,Asia,AS,Bangladesh,BD,Dhanmondi,false,"Drik ICT Ltd",23.7461,90.3742,false,"DRIK ICT Limited",false,"Dhaka Division",success,Asia/Dhaka,1208,1777287509,1777801011.7895,4153,socks4,socks4://121.200.60.122:4153,true,4049.1983890533,26267,33169,44.193754626825,121.200.60.122
true,1777800223.3917,elite,4152.9954695544,1776079612.2139,"AS63961 Bangladesh Research and Education Network (BdREN)",BDREN-UGC-AS-AP,Rajshahi,Asia,AS,Bangladesh,BD,,false,"Bangladesh Research and Education Network (BdREN)",24.374,88.6011,false,"Bangladesh Research and Education Network (BdREN)",false,"Rajshahi Division",success,Asia/Dhaka,6100,1777547427,1777801011.6464,1080,socks5,socks5://163.47.37.190:1080,true,1029.5598506927,1359,1739,43.867010974822,163.47.37.190
true,1777800954.8693,elite,2389.1578788927,1771063888.6833,"AS63969 Race Online Limited",RACEONLINE-BD,Jessore,Asia,AS,Bangladesh,BD,,false,"Earth Telecommunication",23.1596,89.2605,false,,false,"Khulna Division",success,Asia/Dhaka,7400,1777723727,1777801011.0932,1080,socks4,socks4://103.124.251.164:1080,true,1856.8675518036,4045,2643,60.481459330144,103.124.251.164
true,1777800946.3339,elite,3783.9641570428,1710567356.9049,"AS23688 Link3 Technologies Ltd.",LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,,false,"Link3 Technologies Limited",23.7891,90.4126,false,"Corporate Subscriber",false,"Dhaka Division",success,Asia/Dhaka,1212,1777528253,1777801008.0175,57775,socks4,socks4://123.200.5.146:57775,true,3863.3277416229,23204,410532,5.349798033827,123.200.5.146
true,1777801007.9492,elite,3878.1885938745,1710540124.3578,"AS137868 Star Internet Service",SIS-AS-AP,"Char Bhadrāsan",Asia,AS,Bangladesh,BD,,false,"Star Internet Service",23.3092,90.227,false,"Md. Murad Hossain Ripon",false,"Dhaka Division",success,Asia/Dhaka,,1777509327,1777801007.9492,36331,socks4,socks4://103.115.255.225:36331,true,3935.2602958679,49171,687271,6.6768326629931,103.115.255.225
true,1777801004.7133,elite,3832.844416841,1776086296.309,"AS38031 OptiMax Communication Ltd.",OPTIMAX-BD-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,Gulshan,false,"OptiMax Communication Ltd",23.7835,90.4148,false,"OptiMax Communication Ltd",true,"Dhaka Division",success,Asia/Dhaka,1212,1777295212,1777801004.7133,9696,socks4,socks4://114.134.88.74:9696,true,3941.4205551147,45146,29380,60.577516571398,114.134.88.74
true,1777800997.324,elite,3744.6780654579,1768681816.5992,"AS23688 Link3 Technologies Ltd.",LINK3-TECH-AS-BD-AP,Narayanganj,Asia,AS,Bangladesh,BD,,false,"Link3 Technologies Limited",23.6533,90.4923,false,"Corporate Subscriber",false,"Dhaka Division",success,Asia/Dhaka,1421,1777754699,1777800997.324,9108,http,http://27.147.137.234:9108,false,1028.7127494812,40929,185029,18.113543224847,27.147.137.234
true,1777800959.2217,elite,5098.7681496515,1776087278.191,"AS136141 Mohammad Kamrul Hasan t/a SK Traders",SKTRADERS-AS-AP,Tongi,Asia,AS,Bangladesh,BD,,false,"Md Al Amin",23.8915,90.4023,false,,false,"Dhaka Division",success,Asia/Dhaka,1230,1777295275,1777800994.47,1080,socks4,socks4://103.13.192.209:1080,true,8072.3147392273,6152,33017,15.706298348184,103.13.192.209
true,1777800992.853,elite,6992.903659926,1710703094.1229,"AS58689 ICC Communication",ICCNET-DHK-BD,Mānikganj,Asia,AS,Bangladesh,BD,,false,"ICC COMMUNICATION",23.8577,90.0096,false,,true,"Dhaka Division",success,Asia/Dhaka,,1777406559,1777800992.853,44759,http,http://103.15.140.121:44759,false,2421.0669994354,21230,547483,3.7329901022132,103.15.140.121
true,1777800990.3736,elite,3136.2565258638,1756662093.4957,"AS137449 SKYNET CHOWMUHANI",SKYNETCHOWMUHANI-AS-AP,"Bibir Hat",Asia,AS,Bangladesh,BD,,false,"Skynet Chowmuhani",22.6835,91.7906,false,"SB Net City",false,Chittagong,success,Asia/Dhaka,,1777708653,1777800990.3736,1080,socks4,socks4://103.42.228.19:1080,true,3993.3111667633,29982,29684,50.249723460597,103.42.228.19
true,1777800912.3517,transparent,6920.6022574351,1776509466.3614,"AS150327 RBD SOFTWARE & TECHNOLOGY LIMITED",RSTL-AS-AP,Ishwardi,Asia,AS,Bangladesh,BD,,false,"RBD SOFTWARE & TECHNOLOGY LIMITED",24.0682,89.055,false,"Md Khaled Musaddek",false,"Rajshahi Division",success,Asia/Dhaka,6620,1777719705,1777800982.0702,8080,http,http://103.12.204.105:8080,false,4526.1526107788,1170,8520,12.074303405573,103.12.204.105
true,1777800812.8671,elite,8744.7476079186,1763930838.3532,"AS132420 282, Sector 19",E2E-NETWORKS-IN,Dhaka,Asia,AS,Bangladesh,BD,Mohammadpur,false,"Digital Connectivity Limited",23.7648,90.3588,false,"Md. Mashhur Akhter Hossain T/A Digital Connectivity Limited",true,"Dhaka Division",success,Asia/Dhaka,1207,1777324257,1777800978.3352,8888,http,http://139.5.189.229:8888,false,6583.2598209381,1913,6552,22.598936798582,139.5.189.229
